,item_name,item_description,item_price,item_image
51,Oatmeal Raisin Cookie,Oatmeal Raisin Cookie,8.0,https://images.deliveryhero.io/image/talabat/Menuitems/E2398ED2C7F90D9205DDAAA9506777F3?width=172&amp;height=172
52,Chocolate Chip Cookie,Chocolate Chip Cookie,9.0,https://images.deliveryhero.io/image/talabat/Menuitems/2905045E73D73FAF6E332393AE40F73E?width=172&amp;height=172
53,Double Chocolate Brownie,Chocolate Brownie,9.0,https://images.deliveryhero.io/image/talabat/Menuitems/E2D973B72B026EDCFFC5FC13EDCA12B0?width=172&amp;height=172
54,Triple Chocolate Cookie,Triple Chocolate Cookie,9.0,https://images.deliveryhero.io/image/talabat/Menuitems/3C7959AAA7BDBE7D2443850FD9F18A86?width=172&amp;height=172
55,Coca Cola,Coca Cola,9.0,https://images.deliveryhero.io/image/talabat/Menuitems/19DE8AA8B162409245EF31D1AD314789?width=172&amp;height=172
56,Diet Coke,Diet Coke,9.0,https://images.deliveryhero.io/image/talabat/Menuitems/BF884ACED3128085F4A4CE6E5323D6E0?width=172&amp;height=172
57,Fanta Orange,Fanta Orange,9.0,https://images.deliveryhero.io/image/talabat/Menuitems/C7E455580F76654A4316110A61CA4632?width=172&amp;height=172
58,Sprite,Sprite,9.0,https://images.deliveryhero.io/image/talabat/Menuitems/FE44D762A2298C91562FC01F5EEAAD60?width=172&amp;height=172
59,Apple Juice,Cool Sun 100% Apple Juice,7.0,https://images.deliveryhero.io/image/talabat/Menuitems/FF3357F9BBAC68CDA539E47B47D308A5?width=172&amp;height=172
60,Mango & Apple Juice,Cool Sun 100% Mango & Apple Juice,7.0,https://images.deliveryhero.io/image/talabat/Menuitems/AC1323A5991A735E0D9408958856DFE6?width=172&amp;height=172
61,Mixed Fruit Juice,Cool Sun 100% Mixed Fruit Juice,7.0,https://images.deliveryhero.io/image/talabat/Menuitems/66182483A2D8413D7AB42F61BF03B6DB?width=172&amp;height=172
62,Strawberry & Apple Juice,Cool Sun 100% Strawberry & Apple Juice,7.0,https://images.deliveryhero.io/image/talabat/Menuitems/4EE1945EFA8D2D4B6FB397918F7B2882?width=172&amp;height=172
63,Still Water,Still Water,6.0,https://images.deliveryhero.io/image/talabat/Menuitems/22A75C679103D3FAF14CCC07AE31A07B?width=172&amp;height=172
64,Soda Water,Soda Water,8.0,https://images.deliveryhero.io/image/talabat/Menuitems/E0DBB036D752464ECC8E0C5A1B3C3964?width=172&amp;height=172
